id,text,sentiment,score,timestamp
58,cảm ơn bạn rất nhiều,POSITIVE,0.3547876477241516,2025-11-09 12:27:00
57,mệt mỏi quá hôm nay,NEGATIVE,0.47015121579170227,2025-11-09 12:26:47
56,mệt mỏi quá hôm nay,NEGATIVE,0.47015121579170227,2025-11-09 12:09:26
55,cảm ơn bạn rất nhiều,NEGATIVE,0.3547876477241516,2025-11-09 12:08:48
54,ngày mai đi học,POSITIVE,0.4426027238368988,2025-11-09 12:07:48
53,tôi buồn gì thất bại,NEUTRAL,0.3228195607662201,2025-11-09 12:06:21
52,phim này hay lắm,NEUTRAL,0.24851103127002716,2025-11-09 12:02:39
51,công việc ổn định,NEUTRAL,0.4168398976325989,2025-11-09 12:02:12
50,rất vui hôm nay,POSITIVE,0.49852970242500305,2025-11-09 12:01:55
49,thời tiết bình thường,NEUTRAL,0.3714090883731842,2025-11-09 12:01:40
